"Scenario","Innovation","n","Reps","Parameter","PMM2_RMSE","CSS_RMSE","RMSE_Improvement","Var_Reduction","PMM2_Conv","CSS_Conv","Mean_g"
"SARMA_1_0_1_1_12","gamma",500,200,"ar1",0.032127668482665,0.0425779713068983,24.5439190817909,44.0152405233053,1,1,0.597153266006135
"SARMA_1_0_1_1_12","gamma",500,500,"ar1",0.0310868846028015,0.0390128412466645,20.3162763607756,36.9793703987848,1,1,0.586480506365379
"SARMA_1_0_1_1_12","lognormal",100,100,"ar1",0.0696351655452467,0.0853165614747839,18.3802484048445,31.4561361913943,1,1,0.552337916700017
"SARMA_1_0_1_1_12","lognormal",100,200,"ar1",0.0756704085141739,0.0927307829536057,18.3977465691919,31.4684654234763,0.995,1,0.574463363975584
"SARMA_1_0_1_1_12","lognormal",100,500,"ar1",0.0759202568759876,0.0970649046526387,21.7840298224372,35.8796239090399,1,1,0.565763259512737
"SARMA_1_0_1_1_12","lognormal",200,100,"ar1",0.0498562732062481,0.0601401921754657,17.0999103880697,29.1507887805528,1,1,0.575496486458342
"SARMA_1_0_1_1_12","lognormal",200,200,"ar1",0.0491172099896436,0.0602252575254439,18.4441677665012,34.3467584323373,1,1,0.57880646827428
"SARMA_1_0_1_1_12","lognormal",200,500,"ar1",0.0520800879033879,0.0630297144269454,17.3721658476633,29.2373068671088,0.998,1,0.566829912393188
"SARMA_1_0_1_1_12","lognormal",500,100,"ar1",0.0311980717312129,0.0350410259286488,10.9670139374944,21.3220550515012,1,1,0.576380824089718
"SARMA_1_0_1_1_12","lognormal",500,200,"ar1",0.0297604066865817,0.0416398334441489,28.528996816236,48.7596531095955,1,1,0.580549475137891
"SARMA_1_0_1_1_12","lognormal",500,500,"ar1",0.0301989531619811,0.0383463057840423,21.246773204035,38.0024753996494,1,1,0.578262328753374
"SARMA_1_0_1_1_12","exponential",100,100,"ar1",0.0605923144604138,0.0939113486960697,35.4792415381958,56.5293344351577,0.99,1,0.441608681874351
"SARMA_1_0_1_1_12","exponential",100,200,"ar1",0.0663863588056112,0.0880118093308945,24.5710782333527,38.380717945742,1,1,0.468531010574411
"SARMA_1_0_1_1_12","exponential",100,500,"ar1",0.0836805784087483,0.0959985496939191,12.8314139374452,15.1588871416303,0.996,1,0.454379720443741
"SARMA_1_0_1_1_12","exponential",200,100,"ar1",0.039231666327642,0.0629486371281383,37.6767025983708,59.0426607297246,1,1,0.461099301902048
"SARMA_1_0_1_1_12","exponential",200,200,"ar1",0.0440096860719298,0.0615956572582185,28.5506673182585,47.7593081182671,1,1,0.460871498164289
"SARMA_1_0_1_1_12","exponential",200,500,"ar1",0.0487695944667803,0.060457317865225,19.3321897350785,33.7685074703814,0.998,1,0.46056236605539
"SARMA_1_0_1_1_12","exponential",500,100,"ar1",0.0275705228139648,0.0357585645957386,22.8981276914836,40.2785603429605,1,1,0.474380585591495
"SARMA_1_0_1_1_12","exponential",500,200,"ar1",0.0261790620678999,0.0377623148886396,30.674106857322,50.9119236764109,1,1,0.479138042449694
"SARMA_1_0_1_1_12","exponential",500,500,"ar1",0.0271875272359889,0.0385815278314295,29.5322690309812,49.9896277854945,1,1,0.478010095278322
"SARIMA_1_1_0_1_1_1_12","gaussian",100,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",100,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",100,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",200,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",200,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",200,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",500,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",500,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gaussian",500,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",100,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",100,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",100,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",200,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",200,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",200,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",500,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",500,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","gamma",500,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",100,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",100,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",100,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",200,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",200,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",200,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",500,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",500,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","lognormal",500,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",100,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",100,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",100,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",200,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",200,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",200,500,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",500,100,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",500,200,"ar1",NA,NA,NA,NA,0,0,0
"SARIMA_1_1_0_1_1_1_12","exponential",500,500,"ar1",NA,NA,NA,NA,0,0,0
