"model","dist","n","M","gamma4_th","g3_theory","var_ols","var_pmm3","g3_emp","are_pmm3","bias_ols","bias_pmm3","mse_ols","mse_pmm3","mse_ratio","conv_rate","n_valid"
"lm_pmm3","Uniform",100,500,-1.2,0.299951385512883,0.0108807769231348,0.00406215989456117,0.373333625278556,2.67856933394057,0.00229730068380407,0.000574213082917385,0.0108642929597203,0.00405436529543664,0.373182618553118,1,500
"lm_pmm3","Uniform",200,500,-1.2,0.299951385512883,0.00476980086764983,0.00165263779745817,0.346479411471207,2.88617437830963,-0.00207973008525553,-0.000108490476945056,0.00476458654314205,0.00164934429204684,0.346167348858599,1,500
"lm_pmm3","Uniform",500,500,-1.2,0.299951385512883,0.0018394410334771,0.000648435800674845,0.352517851278497,2.83673577486429,0.00158298940143586,0.00055989677432855,0.0018382680068552,0.000647452413471398,0.352207845132996,1,500
"lm_pmm3","Beta(2,2)",100,500,-0.864610928758442,0.642225007556607,0.012014975007373,0.00857589274894431,0.713767006896123,1.40101740531352,0.00155573212814764,0.0037217177369393,0.0119933653598128,0.00857259214635988,0.714777870028444,1,500
"lm_pmm3","Beta(2,2)",200,500,-0.864610928758442,0.642225007556607,0.00592788002121628,0.00415311405560337,0.70060696922662,1.42733378901993,0.00108016472771988,-0.00232811629988894,0.00591719101701286,0.00415022795299797,0.701384819429592,1,500
"lm_pmm3","Beta(2,2)",500,500,-0.864610928758442,0.642225007556607,0.00184535167354166,0.00114539437585152,0.620691650417635,1.61110593211161,-0.00166367996417582,-0.00159419757313728,0.00184442880121778,0.00114564505300201,0.621138128099932,1,500
"lm_pmm3","TN(lambda=1.5)",100,500,-0.957194592123411,0.65898161933546,0.0346410630086457,0.0254852720526371,0.735695438857534,1.35925812120421,0.0100105751091832,0.00501022621883429,0.034671992496645,0.0254594038752957,0.7342930717858,1,500
"lm_pmm3","TN(lambda=1.5)",200,500,-0.957194592123411,0.65898161933546,0.0136274830544782,0.00941274379182676,0.69071770290946,1.44776946614771,-0.0036379605490855,-0.00156472735502544,0.0136134628453259,0.00939636667593867,0.690226049220447,1,500
"lm_pmm3","TN(lambda=1.5)",500,500,-0.957194592123411,0.65898161933546,0.00588985324783019,0.00403493146294952,0.685064855297707,1.45971580977604,-0.00146611409427955,-0.00194952239261736,0.00588022303187198,0.00403066223758294,0.685460775167191,1,500
"ar_pmm3","Uniform",100,500,-1.2,0.299951385512883,0.0057322859907365,0.00211730790897993,0.369365365301302,2.70734642156898,-0.0298889393457057,-0.0105865143171872,0.00661417011396632,0.00222514757854998,0.336421280403933,1,500
"ar_pmm3","Uniform",200,500,-1.2,0.299951385512883,0.00288531883829226,0.000918484321460148,0.318330268832187,3.14139149779428,-0.0181558767034548,-0.00769410872066467,0.00320918405948673,0.000975846661822639,0.304079368379611,1,500
"ar_pmm3","Uniform",500,500,-1.2,0.299951385512883,0.0010830090798192,0.000327921750817479,0.3027876284031,3.3026448447514,-0.00643168080090373,-0.00213157050358359,0.00112220957958428,0.000331809500127589,0.295675162789563,1,500
"ar_pmm3","Beta(2,2)",100,500,-0.864610928758442,0.642225007556607,0.00618316503279607,0.00440506453708054,0.712428750278486,1.40364913629483,-0.0294497713289298,-0.0223278022730846,0.00703808773405672,0.00489478516235233,0.695470893132927,1,500
"ar_pmm3","Beta(2,2)",200,500,-0.864610928758442,0.642225007556607,0.00255863966313225,0.00177052397243368,0.691978631436608,1.44513133002953,-0.0137050886018564,-0.00942945915337912,0.00274135183739072,0.00185589762441406,0.677000886606569,1,500
"ar_pmm3","Beta(2,2)",500,500,-0.864610928758442,0.642225007556607,0.00112183805769231,0.000760679037527979,0.678064924176971,1.47478503067209,-0.00798519450820179,-0.00529183691742752,0.00118335771291075,0.000787161217413573,0.665192957991848,1,500
"ar_pmm3","TN(lambda=1.5)",100,500,-0.957194592123411,0.65898161933546,0.00504841118098204,0.00345460689845803,0.684295865493671,1.46135619170893,-0.0261952009568895,-0.0187110583818305,0.00572450291179189,0.00379780139042937,0.663429025882106,1,500
"ar_pmm3","TN(lambda=1.5)",200,500,-0.957194592123411,0.65898161933546,0.00287481149023554,0.001859473276246,0.646815724287247,1.54603538913953,-0.0167306781309514,-0.0131299284110058,0.00314897745797658,0.00202814934977163,0.644066010899565,1,500
"ar_pmm3","TN(lambda=1.5)",500,500,-0.957194592123411,0.65898161933546,0.00107177682985172,0.000678467784209799,0.633030837495959,1.57970187353848,-0.00532705608190898,-0.00370139474688069,0.00109801080269182,0.000690811171713614,0.629147882716691,1,500
"ma_pmm3","Uniform",100,500,-1.2,0.299951385512883,0.00851331886493088,0.005056995753583,0.594009907747541,1.68347360365074,0.00160840164778486,-0.00428649563861871,0.00849887918306162,0.00506525580693573,0.595991035739259,1,500
"ma_pmm3","Uniform",200,500,-1.2,0.299951385512883,0.00345824785901909,0.00180059034397503,0.520665498072702,1.92061890734378,-0.000659147927858816,-0.00111891478829262,0.00345176583929186,0.00179824113359054,0.520962665868279,1,500
"ma_pmm3","Uniform",500,500,-1.2,0.299951385512883,0.00131778742408514,0.000679106230900797,0.515338224123864,1.94047317506889,-0.00148775422885106,-0.00179833029653553,0.00131736526188243,0.000680982010294433,0.516927256242776,1,500
"ma_pmm3","Beta(2,2)",100,500,-0.864610928758442,0.642225007556607,0.00809922772397918,0.0072310398145582,0.892806087319837,1.12006404772839,0.00737449591658668,-0.000881051812553713,0.00813741245855497,0.00721735398722549,0.886934762614594,1,500
"ma_pmm3","Beta(2,2)",200,500,-0.864610928758442,0.642225007556607,0.00353770739635891,0.0037586432647127,1.0624517077306,0.941219250459864,-0.00339126121013889,-0.00564531785741784,0.00354213263416158,0.00378299559189456,1.06799941803704,1,500
"ma_pmm3","Beta(2,2)",500,500,-0.864610928758442,0.642225007556607,0.0013157158353058,0.00136696977611186,1.03895517514552,0.962505432306009,0.00252378573811229,0.00232468623095228,0.00131945389808708,0.00136964000263202,1.03803551197787,1,500
"ma_pmm3","TN(lambda=1.5)",100,500,-0.957194592123411,0.65898161933546,0.00717466843575937,0.0073571211286161,1.0254301218921,0.975200531611874,8.93212186414694e-06,-0.00447354961223811,0.00716031917867065,0.00736241953249202,1.02822504818268,1,500
"ma_pmm3","TN(lambda=1.5)",200,500,-0.957194592123411,0.65898161933546,0.0036739593374899,0.00317059006089178,0.862989970666896,1.15876201808837,-0.000449386749645897,-0.0040329946804869,0.00366681336726568,0.00318051392686283,0.867378185990013,1,500
"ma_pmm3","TN(lambda=1.5)",500,500,-0.957194592123411,0.65898161933546,0.00126668831798768,0.00137746444320057,1.08745334084148,0.919579684426916,-0.000344033369704011,-0.00162610549919495,0.00126427330031117,0.00137735373340868,1.08944302871039,1,500
